  run  | cfg | numfile |           start            |            stop            |    runlength    
 11283 | 558 |       1 | 2017-05-14 02:06:59.241102 | 2017-05-14 04:25:57.351358 | 02:18:58.110256
 11282 | 558 |       1 | 2017-05-14 01:02:36.842272 | 2017-05-14 02:03:59.680461 | 01:01:22.838189
 11281 | 558 |       1 | 2017-05-14 00:34:14.013742 | 2017-05-14 00:56:28.770607 | 00:22:14.756865
 11280 | 558 |       1 | 2017-05-14 00:28:25.470838 |                            | 
 11279 | 558 |       1 | 2017-05-13 22:00:00.806096 | 2017-05-14 00:25:38.214547 | 02:25:37.408451
 11278 | 558 |       1 | 2017-05-13 14:56:23.134999 | 2017-05-13 21:56:39.691235 | 07:00:16.556236
 11277 | 558 |       1 |                            |                            | 
 11276 | 558 |       1 | 2017-05-13 14:48:06.019787 |                            | 
 11275 | 561 |       1 | 2017-05-13 10:18:20.22133  | 2017-05-13 14:40:58.964155 | 04:22:38.742825
 11274 | 561 |       1 | 2017-05-13 06:46:36.418046 | 2017-05-13 10:14:20.525688 | 03:27:44.107642
 11273 | 561 |       1 |                            |                            | 
 11272 | 561 |       1 |                            |                            | 
 11271 | 561 |       1 | 2017-05-13 03:43:34.15157  | 2017-05-13 06:38:23.025576 | 02:54:48.874006
 11270 | 561 |       1 | 2017-05-13 00:32:54.989612 | 2017-05-13 03:40:54.35594  | 03:07:59.366328
 11269 | 561 |       1 | 2017-05-13 00:17:57.179525 | 2017-05-13 00:26:33.426046 | 00:08:36.246521
 11268 | 561 |       1 |                            |                            | 
 11267 | 561 |       1 | 2017-05-13 00:08:43.939065 |                            | 
 11266 | 561 |       1 |                            |                            | 
 11265 | 561 |       1 | 2017-05-12 23:20:06.876855 | 2017-05-12 23:59:10.382214 | 00:39:03.505359
